Product_Id,Product_Weight,Product_Sugar_Content,Product_Allocated_Area,Product_Type,Product_MRP,Store_Id,Store_Establishment_Year,Store_Size,Store_Location_City_Type,Store_Type,Product_Store_Sales_Total
FD8469,14.9,Low Sugar,0.05,Snack Foods,199.95,OUT003,1999,Medium,Tier 1,Departmental Store,5043.15
FD5698,15.61,Low Sugar,0.122,Fruits and Vegetables,141.69,OUT001,1987,High,Tier 2,Supermarket Type1,4011.6
FD6269,14.08,Low Sugar,0.142,Dairy,160.08,OUT001,1987,High,Tier 2,Supermarket Type1,4043.53
FD4919,13.71,Low Sugar,0.066,Snack Foods,130.69,OUT004,2009,Medium,Tier 2,Supermarket Type2,3357.36
NC6106,12.58,No Sugar,0.026,Health and Hygiene,120.93,OUT004,2009,Medium,Tier 2,Supermarket Type2,2903.64
NC1176,9.57,No Sugar,0.017,Household,157.73,OUT004,2009,Medium,Tier 2,Supermarket Type2,2974.97
FD4871,12.98,Low Sugar,0.046,Baking Goods,110.57,OUT004,2009,Medium,Tier 2,Supermarket Type2,2780.32
FD5702,11.82,Regular,0.047,Meat,76.55,OUT002,1998,Small,Tier 3,Food Mart,1823.47
FD1608,11.95,Low Sugar,0.08,Starchy Foods,129.5,OUT004,2009,Medium,Tier 2,Supermarket Type2,2934.91
FD8573,13.75,Regular,0.097,Frozen Foods,184.29,OUT003,1999,Medium,Tier 1,Departmental Store,4464.75
NC4935,13.97,No Sugar,0.105,Household,160.54,OUT001,1987,High,Tier 2,Supermarket Type1,4028.41
FD4075,16.8,Low Sugar,0.062,Meat,170.8,OUT003,1999,Medium,Tier 1,Departmental Store,4877.16
NC8167,14.16,No Sugar,0.102,Household,172.4,OUT003,1999,Medium,Tier 1,Departmental Store,4312.33
FD1416,10.56,Low Sugar,0.097,Breads,156.97,OUT004,2009,Medium,Tier 2,Supermarket Type2,3183.71
NC2846,15.57,No Sugar,0.173,Health and Hygiene,157.75,OUT003,1999,Medium,Tier 1,Departmental Store,4330.81
DR2049,12.94,Low Sugar,0.028,Hard Drinks,174.83,OUT001,1987,High,Tier 2,Supermarket Type1,4086.83
NC2096,14.67,No Sugar,0.115,Household,175.61,OUT003,1999,Medium,Tier 1,Departmental Store,4493.22
FD6093,12.7,Regular,0.034,Meat,178.53,OUT001,1987,High,Tier 2,Supermarket Type1,4108.21
FD5917,15.02,Low Sugar,0.051,Frozen Foods,151.97,OUT001,1987,High,Tier 2,Supermarket Type1,4089.97
NC5668,14.58,No Sugar,0.061,Household,156.21,OUT001,1987,High,Tier 2,Supermarket Type1,4077.74
FD7109,11.27,Low Sugar,0.116,Fruits and Vegetables,124.9,OUT004,2009,Medium,Tier 2,Supermarket Type2,2686.83
FD961,13.32,Low Sugar,0.092,Fruits and Vegetables,129.5,OUT004,2009,Medium,Tier 2,Supermarket Type2,3245.63
FD1193,10.54,Regular,0.033,Meat,158.75,OUT004,2009,Medium,Tier 2,Supermarket Type2,3215.21
FD4449,11.92,Low Sugar,0.035,Fruits and Vegetables,146.65,OUT004,2009,Medium,Tier 2,Supermarket Type2,3279.12
FD3075,9.89,Low Sugar,0.038,Fruits and Vegetables,117.74,OUT002,1998,Small,Tier 3,Food Mart,2230.43
FD7463,14.41,Low Sugar,0.125,Dairy,141.15,OUT004,2009,Medium,Tier 2,Supermarket Type2,3730.7
FD4722,9.02,Regular,0.033,Fruits and Vegetables,127.08,OUT002,1998,Small,Tier 3,Food Mart,2224.43
FD8242,11.97,Regular,0.034,Snack Foods,127.04,OUT004,2009,Medium,Tier 2,Supermarket Type2,2890.19
FD5491,21.04,Regular,0.04,Starchy Foods,158.86,OUT003,1999,Medium,Tier 1,Departmental Store,5591.41
NC8438,13.88,No Sugar,0.27,Household,164.6,OUT001,1987,High,Tier 2,Supermarket Type1,4090.87
FD6804,13.77,Low Sugar,0.065,Dairy,186.41,OUT001,1987,High,Tier 2,Supermarket Type1,4512.26
NC5513,11.52,No Sugar,0.066,Others,109.74,OUT001,1987,High,Tier 2,Supermarket Type1,2433.52
FD1094,10.57,Low Sugar,0.065,Frozen Foods,116.43,OUT001,1987,High,Tier 2,Supermarket Type1,2356.2
FD3943,12.48,Low Sugar,0.143,Dairy,129.02,OUT004,2009,Medium,Tier 2,Supermarket Type2,3044.65
FD6439,10.95,Low Sugar,0.073,Baking Goods,97.16,OUT002,1998,Small,Tier 3,Food Mart,2047.28
FD673,14.7,Low Sugar,0.137,Dairy,159.86,OUT001,1987,High,Tier 2,Supermarket Type1,4177.6
FD3522,16.48,Low Sugar,0.086,Frozen Foods,175.86,OUT003,1999,Medium,Tier 1,Departmental Store,4909.21
DR6383,11.4,Low Sugar,0.024,Hard Drinks,113.14,OUT001,1987,High,Tier 2,Supermarket Type1,2477.46
NC1048,13.19,No Sugar,0.051,Household,171.04,OUT001,1987,High,Tier 2,Supermarket Type1,4066.43
DR1493,10.11,Low Sugar,0.026,Hard Drinks,118.72,OUT002,1998,Small,Tier 3,Food Mart,2299.63
FD6845,14.13,Low Sugar,0.022,Baking Goods,144.2,OUT004,2009,Medium,Tier 2,Supermarket Type2,3728.31
FD2168,15.35,Low Sugar,0.016,Baking Goods,229.2,OUT003,1999,Medium,Tier 1,Departmental Store,5744.55
FD4562,12.16,Regular,0.092,Frozen Foods,115.92,OUT004,2009,Medium,Tier 2,Supermarket Type2,2705.2
NC3490,14.35,No Sugar,0.033,Health and Hygiene,172.76,OUT003,1999,Medium,Tier 1,Departmental Store,4363.58
FD1941,12.44,Low Sugar,0.047,Baking Goods,159.73,OUT004,2009,Medium,Tier 2,Supermarket Type2,3664.91
NC6399,15.17,No Sugar,0.076,Health and Hygiene,121.39,OUT004,2009,Medium,Tier 2,Supermarket Type2,3498.48
FD1820,13.4,Low Sugar,0.088,Frozen Foods,148.79,OUT004,2009,Medium,Tier 2,Supermarket Type2,3658.4
NC691,12.92,No Sugar,0.139,Health and Hygiene,165.21,OUT004,2009,Medium,Tier 2,Supermarket Type2,3886.78
FD1021,8.25,Regular,0.031,Dairy,119.55,OUT002,1998,Small,Tier 3,Food Mart,1894.93
FD6206,8.52,Low Sugar,0.055,Meat,105.69,OUT002,1998,Small,Tier 3,Food Mart,1672.61
DR5460,15.52,Regular,0.086,Soft Drinks,214.65,OUT003,1999,Medium,Tier 1,Departmental Store,5483.76
FD1951,8.13,Low Sugar,0.047,Snack Foods,161.05,OUT004,2009,Medium,Tier 2,Supermarket Type2,2717.45
FD7746,11.86,Low Sugar,0.024,Starchy Foods,154.57,OUT004,2009,Medium,Tier 2,Supermarket Type2,3428.32
NC5207,14.34,No Sugar,0.015,Others,122.75,OUT004,2009,Medium,Tier 2,Supermarket Type2,3337.55
NC3756,9.63,No Sugar,0.091,Health and Hygiene,104.7,OUT002,1998,Small,Tier 3,Food Mart,1903.02
NC7943,10.9,No Sugar,0.067,Household,178.42,OUT004,2009,Medium,Tier 2,Supermarket Type2,3698.71
FD7886,16.28,Low Sugar,0.13,Fruits and Vegetables,161.79,OUT001,1987,High,Tier 2,Supermarket Type1,4575.31
FD5613,14.19,Low Sugar,0.08,Fruits and Vegetables,143.34,OUT004,2009,Medium,Tier 2,Supermarket Type2,3724.87
FD2198,14.04,Regular,0.046,Snack Foods,176.28,OUT003,1999,Medium,Tier 1,Departmental Store,4365.38
FD3709,15.6,Regular,0.175,Frozen Foods,206.47,OUT003,1999,Medium,Tier 1,Departmental Store,5335.0
FD6548,12.28,Regular,0.137,Canned,137.83,OUT004,2009,Medium,Tier 2,Supermarket Type2,3179.9
FD3772,13.62,Low Sugar,0.036,Fruits and Vegetables,196.11,OUT001,1987,High,Tier 2,Supermarket Type1,4676.22
FD5551,10.55,Regular,0.08,Snack Foods,94.69,OUT002,1998,Small,Tier 3,Food Mart,1908.09
NC2713,11.94,No Sugar,0.048,Household,162.52,OUT004,2009,Medium,Tier 2,Supermarket Type2,3608.59
DR1305,11.73,Low Sugar,0.128,Soft Drinks,137.31,OUT004,2009,Medium,Tier 2,Supermarket Type2,3044.98
NC1208,14.49,No Sugar,0.042,Household,194.46,OUT001,1987,High,Tier 2,Supermarket Type1,4839.18
FD716,10.64,Low Sugar,0.168,Canned,152.01,OUT004,2009,Medium,Tier 2,Supermarket Type2,3099.3
FD5199,10.56,Regular,0.083,Seafood,85.83,OUT002,1998,Small,Tier 3,Food Mart,1728.49
FD2099,11.89,Low Sugar,0.111,Dairy,172.07,OUT004,2009,Medium,Tier 2,Supermarket Type2,3793.27
FD5863,12.49,Regular,0.077,Fruits and Vegetables,138.54,OUT004,2009,Medium,Tier 2,Supermarket Type2,3243.32
DR586,14.49,Low Sugar,0.061,Soft Drinks,161.24,OUT001,1987,High,Tier 2,Supermarket Type1,2910.78
FD5838,10.91,Low Sugar,0.056,Meat,106.68,OUT002,1998,Small,Tier 3,Food Mart,2233.56
DR5682,13.11,Low Sugar,0.068,Hard Drinks,162.07,OUT004,2009,Medium,Tier 2,Supermarket Type2,3863.85
FD539,12.43,Low Sugar,0.168,Baking Goods,144.04,OUT004,2009,Medium,Tier 2,Supermarket Type2,3265.94
NC7439,12.92,No Sugar,0.118,Household,161.75,OUT004,2009,Medium,Tier 2,Supermarket Type2,3813.81
NC7323,13.58,No Sugar,0.022,Household,145.46,OUT004,2009,Medium,Tier 2,Supermarket Type2,3630.44
FD2703,14.72,Regular,0.016,Baking Goods,147.66,OUT004,2009,Medium,Tier 2,Supermarket Type2,3932.39
FD5058,14.18,Low Sugar,0.179,Dairy,161.86,OUT001,1987,High,Tier 2,Supermarket Type1,4102.79
FD1421,15.51,Regular,0.107,Baking Goods,208.1,OUT003,1999,Medium,Tier 1,Departmental Store,5349.73
FD5205,13.1,Low Sugar,0.037,Snack Foods,142.85,OUT004,2009,Medium,Tier 2,Supermarket Type2,3469.59
DR6038,9.09,Low Sugar,0.081,Soft Drinks,82.27,OUT002,1998,Small,Tier 3,Food Mart,1322.63
NC526,14.45,No Sugar,0.017,Household,175.47,OUT003,1999,Medium,Tier 1,Departmental Store,5041.31
FD4714,13.68,Regular,0.02,Snack Foods,145.72,OUT004,2009,Medium,Tier 2,Supermarket Type2,3658.17
FD3160,13.8,Low Sugar,0.021,Canned,130.88,OUT004,2009,Medium,Tier 2,Supermarket Type2,3381.43
FD7865,14.16,Low Sugar,0.01,Starchy Foods,139.42,OUT004,2009,Medium,Tier 2,Supermarket Type2,3638.13
FD6319,13.97,Regular,0.04,Frozen Foods,181.11,OUT003,1999,Medium,Tier 1,Departmental Store,4448.37
FD604,9.77,Low Sugar,0.055,Canned,139.51,OUT004,2009,Medium,Tier 2,Supermarket Type2,2647.72
FD5475,15.6,Low Sugar,0.128,Meat,142.9,OUT001,1987,High,Tier 2,Supermarket Type1,4034.74
NC6113,12.03,No Sugar,0.02,Health and Hygiene,95.47,OUT002,1998,Small,Tier 3,Food Mart,2256.39
FD707,11.15,Low Sugar,0.189,Canned,154.86,OUT004,2009,Medium,Tier 2,Supermarket Type2,3273.72
FD508,14.64,Low Sugar,0.074,Snack Foods,200.85,OUT001,1987,High,Tier 2,Supermarket Type1,2626.61
FD79,12.25,Low Sugar,0.074,Canned,127.29,OUT004,2009,Medium,Tier 2,Supermarket Type2,4462.82
FD2946,14.54,Low Sugar,0.13,Meat,167.58,OUT003,1999,Medium,Tier 1,Departmental Store,4300.82
FD1456,11.41,Low Sugar,0.119,Snack Foods,144.12,OUT004,2009,Medium,Tier 2,Supermarket Type2,3113.96
FD3554,11.96,Regular,0.066,Baking Goods,179.92,OUT004,2009,Medium,Tier 2,Supermarket Type2,3968.8
FD2050,13.57,Low Sugar,0.152,Frozen Foods,133.05,OUT004,2009,Medium,Tier 2,Supermarket Type2,3373.87
FD4972,15.68,Regular,0.104,Snack Foods,141.98,OUT001,1987,High,Tier 2,Supermarket Type1,4033.74
FD4070,15.7,Regular,0.009,Meat,159.46,OUT003,1999,Medium,Tier 1,Departmental Store,4397.13
FD7756,16.4,Low Sugar,0.01,Meat,208.33,OUT003,1999,Medium,Tier 1,Departmental Store,5554.72
FD8520,7.25,Regular,0.009,Snack Foods,145.16,OUT002,1998,Small,Tier 3,Food Mart,2193.16
FD844,13.28,Regular,0.146,Meat,128.82,OUT004,2009,Medium,Tier 2,Supermarket Type2,3223.45
NC7012,15.25,No Sugar,0.176,Household,152.71,OUT001,1987,High,Tier 2,Supermarket Type1,4157.51
FD318,12.96,Low Sugar,0.034,Fruits and Vegetables,179.75,OUT002,1998,Small,Tier 3,Food Mart,1892.93
NC3093,12.65,No Sugar,0.038,Household,137.61,OUT004,2009,Medium,Tier 2,Supermarket Type2,3258.76
FD3806,10.69,Regular,0.054,Dairy,132.9,OUT004,2009,Medium,Tier 2,Supermarket Type2,2720.99
FD6026,7.16,Low Sugar,0.021,Frozen Foods,103.64,OUT002,1998,Small,Tier 3,Food Mart,1323.37
FD6417,13.6,Low Sugar,0.017,Fruits and Vegetables,159.2,OUT004,2009,Medium,Tier 2,Supermarket Type2,3915.2
FD6403,8.55,Low Sugar,0.057,Fruits and Vegetables,155.26,OUT004,2009,Medium,Tier 2,Supermarket Type2,2695.41
FD3041,16.16,Low Sugar,0.029,Snack Foods,120.95,OUT004,2009,Medium,Tier 2,Supermarket Type2,3711.26
DR5197,13.69,Low Sugar,0.171,Soft Drinks,175.92,OUT003,1999,Medium,Tier 1,Departmental Store,4279.81
FD461,11.37,Low Sugar,0.12,Fruits and Vegetables,106.48,OUT001,1987,High,Tier 2,Supermarket Type1,3802.7
FD4005,9.73,Regular,0.06,Fruits and Vegetables,104.76,OUT002,1998,Small,Tier 3,Food Mart,1928.3
FD3040,11.71,Regular,0.026,Snack Foods,154.94,OUT004,2009,Medium,Tier 2,Supermarket Type2,3402.93
FD2422,13.61,Low Sugar,0.036,Snack Foods,136.92,OUT004,2009,Medium,Tier 2,Supermarket Type2,3462.97
DR7648,12.64,Low Sugar,0.12,Soft Drinks,103.88,OUT004,2009,Medium,Tier 2,Supermarket Type2,2567.56
FD4985,14.48,Low Sugar,0.089,Breads,195.27,OUT001,1987,High,Tier 2,Supermarket Type1,4854.34
FD4490,13.07,Low Sugar,0.019,Fruits and Vegetables,123.23,OUT004,2009,Medium,Tier 2,Supermarket Type2,3060.38
NC6094,13.95,No Sugar,0.141,Health and Hygiene,136.71,OUT004,2009,Medium,Tier 2,Supermarket Type2,3534.48
FD7196,13.24,Regular,0.089,Meat,163.78,OUT004,2009,Medium,Tier 2,Supermarket Type2,3929.4
DR5537,10.95,Low Sugar,0.061,Soft Drinks,110.82,OUT001,1987,High,Tier 2,Supermarket Type1,2327.71
FD6825,12.9,Low Sugar,0.15,Dairy,129.8,OUT004,2009,Medium,Tier 2,Supermarket Type2,3157.23
FD6107,12.86,Low Sugar,0.062,Fruits and Vegetables,139.32,OUT004,2009,Medium,Tier 2,Supermarket Type2,3341.99
FD4224,6.78,Low Sugar,0.057,Fruits and Vegetables,119.22,OUT002,1998,Small,Tier 3,Food Mart,1556.23
NC3872,11.13,No Sugar,0.22,Household,166.74,OUT004,2009,Medium,Tier 2,Supermarket Type2,3511.43
DR8622,13.12,Low Sugar,0.056,Soft Drinks,180.78,OUT003,1999,Medium,Tier 1,Departmental Store,4249.95
FD2920,13.88,Low Sugar,0.098,Fruits and Vegetables,191.35,OUT001,1987,High,Tier 2,Supermarket Type1,4636.36
FD5823,16.26,Low Sugar,0.174,Seafood,128.94,OUT004,2009,Medium,Tier 2,Supermarket Type2,3898.43
FD1633,11.87,Low Sugar,0.113,Meat,180.96,OUT004,2009,Medium,Tier 2,Supermarket Type2,3969.51
FD1649,14.13,Low Sugar,0.04,Fruits and Vegetables,138.56,OUT004,2009,Medium,Tier 2,Supermarket Type2,3613.13
FD3240,12.58,Regular,0.006,Meat,182.69,OUT001,1987,High,Tier 2,Supermarket Type1,4166.31
NC5142,14.26,No Sugar,0.112,Health and Hygiene,147.57,OUT004,2009,Medium,Tier 2,Supermarket Type2,3826.56
FD5321,9.07,Low Sugar,0.096,Meat,154.13,OUT004,2009,Medium,Tier 2,Supermarket Type2,2789.04
FD5674,13.01,Low Sugar,0.077,Canned,168.09,OUT004,2009,Medium,Tier 2,Supermarket Type2,3964.78
FD8491,12.66,Regular,0.153,Canned,151.92,OUT004,2009,Medium,Tier 2,Supermarket Type2,3554.37
FD5701,7.03,Regular,0.088,Canned,129.3,OUT002,1998,Small,Tier 3,Food Mart,1820.35
FD3724,12.68,Low Sugar,0.11,Breads,187.42,OUT003,1999,Medium,Tier 1,Departmental Store,4285.55
FD5489,11.42,Low Sugar,0.081,Fruits and Vegetables,163.88,OUT004,2009,Medium,Tier 2,Supermarket Type2,3520.32
FD7510,16.09,Low Sugar,0.054,Fruits and Vegetables,158.33,OUT003,1999,Medium,Tier 1,Departmental Store,4461.82
NC6300,13.92,No Sugar,0.036,Health and Hygiene,188.87,OUT001,1987,High,Tier 2,Supermarket Type1,4595.67
FD1144,9.95,Low Sugar,0.115,Fruits and Vegetables,91.46,OUT002,1998,Small,Tier 3,Food Mart,1705.16
FD5899,8.72,Regular,0.098,Frozen Foods,152.5,OUT004,2009,Medium,Tier 2,Supermarket Type2,2675.68
FD3426,12.42,Low Sugar,0.086,Fruits and Vegetables,143.96,OUT004,2009,Medium,Tier 2,Supermarket Type2,3339.0
FD6636,9.95,Low Sugar,0.034,Snack Foods,149.98,OUT004,2009,Medium,Tier 2,Supermarket Type2,2903.05
DR2375,13.37,Low Sugar,0.064,Soft Drinks,143.54,OUT004,2009,Medium,Tier 2,Supermarket Type2,3543.33
FD5773,13.31,Regular,0.087,Breads,131.74,OUT004,2009,Medium,Tier 2,Supermarket Type2,3288.69
FD4415,10.94,Low Sugar,0.074,Canned,157.78,OUT004,2009,Medium,Tier 2,Supermarket Type2,3286.41
FD675,12.33,Low Sugar,0.063,Baking Goods,158.14,OUT004,2009,Medium,Tier 2,Supermarket Type2,3608.21
DR8097,11.03,Low Sugar,0.093,Soft Drinks,132.08,OUT004,2009,Medium,Tier 2,Supermarket Type2,2780.72
FD5427,10.69,Regular,0.055,Snack Foods,117.61,OUT001,1987,High,Tier 2,Supermarket Type1,2408.33
NC1602,10.08,No Sugar,0.028,Household,104.89,OUT002,1998,Small,Tier 3,Food Mart,2009.67
FD5071,15.68,Regular,0.05,Snack Foods,167.02,OUT001,1987,High,Tier 2,Supermarket Type1,4547.13
FD5680,12.03,Low Sugar,0.053,Snack Foods,113.64,OUT004,2009,Medium,Tier 2,Supermarket Type2,2629.15
FD8637,11.31,Low Sugar,0.152,Canned,146.11,OUT004,2009,Medium,Tier 2,Supermarket Type2,3131.78
NC6701,12.39,No Sugar,0.021,Household,118.51,OUT004,2009,Medium,Tier 2,Supermarket Type2,2810.58
FD6369,11.52,Low Sugar,0.086,Snack Foods,146.28,OUT004,2009,Medium,Tier 2,Supermarket Type2,3182.28
FD1188,9.38,Regular,0.053,Fruits and Vegetables,118.33,OUT002,1998,Small,Tier 3,Food Mart,2126.45
FD3475,14.28,Low Sugar,0.006,Dairy,210.04,OUT003,1999,Medium,Tier 1,Departmental Store,5110.06
FD3597,8.48,Low Sugar,0.019,Frozen Foods,134.6,OUT002,1998,Small,Tier 3,Food Mart,2255.29
FD6768,10.47,Regular,0.01,Canned,130.16,OUT004,2009,Medium,Tier 2,Supermarket Type2,2614.32
FD7503,9.81,Regular,0.129,Dairy,92.15,OUT002,1998,Small,Tier 3,Food Mart,1687.0
NC4769,14.39,No Sugar,0.113,Health and Hygiene,155.48,OUT001,1987,High,Tier 2,Supermarket Type1,4017.84
FD1272,11.67,Low Sugar,0.089,Fruits and Vegetables,115.27,OUT004,2009,Medium,Tier 2,Supermarket Type2,2582.01
DR8030,12.95,Low Sugar,0.02,Soft Drinks,144.45,OUT004,2009,Medium,Tier 2,Supermarket Type2,3467.47
NC257,12.06,No Sugar,0.048,Health and Hygiene,151.07,OUT004,2009,Medium,Tier 2,Supermarket Type2,3696.17
FD829,10.47,Regular,0.062,Canned,187.02,OUT004,2009,Medium,Tier 2,Supermarket Type2,3778.9
FD6044,4.28,Low Sugar,0.037,Dairy,79.65,OUT002,1998,Small,Tier 3,Food Mart,183.02
FD1518,13.3,Regular,0.009,Fruits and Vegetables,158.76,OUT004,2009,Medium,Tier 2,Supermarket Type2,3839.6
NC3044,13.2,No Sugar,0.033,Household,160.93,OUT004,2009,Medium,Tier 2,Supermarket Type2,3861.35
FD184,11.18,Low Sugar,0.042,Dairy,115.08,OUT001,1987,High,Tier 2,Supermarket Type1,4047.09
FD4610,11.32,Regular,0.112,Snack Foods,120.45,OUT004,2009,Medium,Tier 2,Supermarket Type2,2608.03
FD6523,13.23,Regular,0.072,Breakfast,150.16,OUT004,2009,Medium,Tier 2,Supermarket Type2,3647.96
DR2750,11.74,Low Sugar,0.062,Hard Drinks,103.63,OUT001,1987,High,Tier 2,Supermarket Type1,2357.91
DR5565,12.02,Regular,0.015,Soft Drinks,140.6,OUT004,2009,Medium,Tier 2,Supermarket Type2,3178.37
NC4513,9.87,No Sugar,0.023,Health and Hygiene,122.38,OUT001,1987,High,Tier 2,Supermarket Type1,2320.07
FD4276,15.7,Low Sugar,0.015,Snack Foods,163.16,OUT003,1999,Medium,Tier 1,Departmental Store,4471.91
NC3194,10.71,No Sugar,0.079,Health and Hygiene,111.89,OUT002,1998,Small,Tier 3,Food Mart,2296.12
FD7875,10.76,Low Sugar,0.007,Baking Goods,171.82,OUT004,2009,Medium,Tier 2,Supermarket Type2,3532.18
NC4287,11.94,No Sugar,0.138,Household,176.77,OUT004,2009,Medium,Tier 2,Supermarket Type2,3900.37
FD1448,15.04,Low Sugar,0.104,Snack Foods,118.56,OUT004,2009,Medium,Tier 2,Supermarket Type2,3410.45
FD41,9.14,Low Sugar,0.055,Canned,132.11,OUT001,1987,High,Tier 2,Supermarket Type1,4744.69
